"","num_bureau","num_bureau_vote","inscrit","votant","bul_nul","suffrage","bby","yaw","wallu","bunt","aar","bgg","mpr","naw","som_vote","@_id","@_uuid","@_submission_time","@_index","@_parent_table_name","index","@_tags","@_notes","@_version","@_duration","@_submitted_by","@_xform_id","region","departement","centre_vote","reportaire","bureau_reel"
"323","1",1,564,276,1,275,81,176,9,2,2,1,4,0,"275",NA,"",NA,323,"data",224,"","","","","","","04","043","ECOLE EMILE SARR EX BRIERE DE LILLE","OUSMANE","1"
"324","1",NA,564,237,0,237,27,16,190,0,0,0,3,1,"237",NA,"",NA,324,"data",225,"","","","","","","15","1000","BERGAMO","Yassine","7"
"325","1",1,261,74,0,74,0,14,41,0,0,0,2,1,"58",NA,"",NA,325,"data",226,"","","","","","","15","1000","Ischio","Yacouba","1"
"326","1",1,587,304,1,303,132,150,8,1,5,3,4,0,"303",NA,"",NA,326,"data",227,"","","","","","","04","043","ECOLE MACODOU NDIAYE","OUSMANE","1"
"327","1",1,523,271,0,271,31,17,216,0,1,0,6,0,"271",NA,"",NA,327,"data",228,"","","","","","","15","1000","Reggio Emilia","William","1"
"328","1",1,114,32,0,32,0,3,24,0,1,0,0,0,"28",NA,"",NA,328,"data",229,"","","","","","","15","1000","LA SPEZIA","Yacouba","1"
"329","1",NA,7209,3605,8,3596,899,2357,160,11,15,7,135,14,"3598",NA,"",NA,329,"data",230,"","","","","","","01","014","PIKINE 16","Migui MARAME Ndiaye","13"
"330","1",1,553,205,0,205,25,22,152,0,0,0,6,0,"205",NA,"",NA,330,"data",231,"","","","","","","15","1000","RIMINI","William","2"
"331","2",2,554,200,0,200,19,11,164,0,0,0,6,0,"200",NA,"",NA,331,"data",231,"","","","","","","15","1000","RIMINI","William","2"
"332","1",1,491,199,0,199,31,27,135,1,0,0,2,0,"196",NA,"",NA,332,"data",232,"","","","","","","15","1000","LECCO","Yacouba","2"
"333","2",2,491,181,0,181,29,16,130,1,0,0,5,0,"181",NA,"",NA,333,"data",232,"","","","","","","15","1000","LECCO","Yacouba","2"
"334","1",1,579,253,0,253,88,137,14,1,4,2,4,3,"253",NA,"",NA,334,"data",233,"","","","","","","04","043","ECOLE MAMADOU CHARLES LEGROS DIALLO","OUSMANE","1"
"335","1",1,162,74,0,74,12,7,52,0,0,0,8,0,"79",NA,"",NA,335,"data",234,"","","","","","","15","1000","SEREGNO","William","1"
"336","1",1,358,122,0,122,10,13,91,0,2,0,4,0,"120",NA,"",NA,336,"data",235,"","","","","","","15","1000","MANTOVA","Yacouba","1"
"337","1",3,519,246,0,246,66,165,9,1,1,0,3,1,"246",NA,"",NA,337,"data",236,"","","","","","","04","043","ECOLE SAER SEYE","OUSMANE","1"
"338","1",2,566,237,0,237,0,16,178,0,0,0,6,0,"200",NA,"",NA,338,"data",237,"","","","","","","15","1000","BERGAMO","Yassine","6"
"339","2",3,565,266,0,266,34,19,170,0,2,1,0,0,"226",NA,"",NA,339,"data",237,"","","","","","","15","1000","BERGAMO","Yassine","6"
"340","3",4,566,243,0,243,27,15,197,0,0,0,4,0,"243",NA,"",NA,340,"data",237,"","","","","","","15","1000","BERGAMO","Yassine","6"
"341","4",5,568,232,0,232,32,14,177,0,0,2,7,0,"232",NA,"",NA,341,"data",237,"","","","","","","15","1000","BERGAMO","Yassine","6"
"342","5",6,568,253,0,253,27,21,199,0,0,0,6,0,"253",NA,"",NA,342,"data",237,"","","","","","","15","1000","BERGAMO","Yassine","6"
"343","6",7,258,190,0,190,8,8,170,0,1,0,3,0,"190",NA,"",NA,343,"data",237,"","","","","","","15","1000","BERGAMO","Yassine","6"
"344","1",1,558,253,0,253,80,13,132,1,2,1,19,1,"249",NA,"",NA,344,"data",238,"","","","","","","03","032","Serigne Bassirou MBACKE","Adoumbaye","2"
"345","2",4,510,168,0,168,46,9,92,0,4,0,16,1,"168",NA,"",NA,345,"data",238,"","","","","","","03","032","Serigne Bassirou MBACKE","Adoumbaye","2"
"346","1",1,526,226,0,226,61,131,12,8,3,0,4,7,"226",NA,"",NA,346,"data",239,"","","","","","","08","083","Ecole DIANG","Bruce","12"
"347","2",2,512,220,0,220,56,123,8,9,14,0,6,4,"220",NA,"",NA,347,"data",239,"","","","","","","08","083","Ecole DIANG","Bruce","12"
"348","3",3,486,209,0,209,57,118,9,4,8,2,3,6,"207",NA,"",NA,348,"data",239,"","","","","","","08","083","Ecole DIANG","Bruce","12"
"349","4",4,502,216,0,216,51,131,8,7,9,1,3,6,"216",NA,"",NA,349,"data",239,"","","","","","","08","083","Ecole DIANG","Bruce","12"
"350","5",5,470,202,0,202,71,109,7,3,2,1,3,6,"202",NA,"",NA,350,"data",239,"","","","","","","08","083","Ecole DIANG","Bruce","12"
"351","6",6,505,217,0,217,57,130,12,3,4,0,5,6,"217",NA,"",NA,351,"data",239,"","","","","","","08","083","Ecole DIANG","Bruce","12"
"352","7",7,570,245,0,245,70,131,13,2,12,2,8,7,"245",NA,"",NA,352,"data",239,"","","","","","","08","083","Ecole DIANG","Bruce","12"
"353","8",8,502,216,0,216,53,131,11,2,8,0,1,10,"216",NA,"",NA,353,"data",239,"","","","","","","08","083","Ecole DIANG","Bruce","12"
"354","9",9,512,220,0,220,80,114,9,2,5,0,3,7,"220",NA,"",NA,354,"data",239,"","","","","","","08","083","Ecole DIANG","Bruce","12"
"355","10",10,381,164,0,164,44,109,4,0,3,0,0,4,"164",NA,"",NA,355,"data",239,"","","","","","","08","083","Ecole DIANG","Bruce","12"
"356","11",11,419,180,0,180,54,112,5,1,3,2,1,2,"180",NA,"",NA,356,"data",239,"","","","","","","08","083","Ecole DIANG","Bruce","12"
"357","12",12,388,167,0,167,42,109,3,3,6,1,1,2,"167",NA,"",NA,357,"data",239,"","","","","","","08","083","Ecole DIANG","Bruce","12"
"358","1",7,571,243,0,243,2,2,92,4,2,2,6,16,"126",NA,"",NA,358,"data",240,"","","","","","","03","032","Alya Dioum","Adoumbaye","1"
"359","1",11,584,202,0,202,31,145,6,0,6,1,12,1,"202",NA,"",NA,359,"data",241,"","","","","","","01","011","École SCAT URBAM","Yassine","1"
"360","1",1,1605,690,0,690,337,353,0,0,0,0,0,0,"690",NA,"",NA,360,"data",242,"","","","","","","10","102","Centre Ecole 6","Bruce","1"
"361","1",1,3526,1234,0,1234,544,690,0,NA,0,NA,0,0,"NaN",NA,"",NA,361,"data",243,"","","","","","","14","143","samine","Fernand","1"
"362","1",9,578,235,0,235,68,140,15,0,2,0,9,1,"235",NA,"",NA,362,"data",244,"","","","","","","01","014","Darakhane","Yacouba","1"
"363","1",19,579,332,0,332,85,220,9,0,0,0,17,1,"332",NA,"",NA,363,"data",245,"","","","","","","01","014","Daroukhane","Adoumbaye","2"
"364","2",8,616,265,0,265,105,126,15,1,2,0,14,2,"265",NA,"",NA,364,"data",245,"","","","","","","01","014","Daroukhane","Adoumbaye","2"
"365","1",6,581,259,0,259,84,150,12,1,3,1,4,4,"259",NA,"",NA,365,"data",246,"","","","","","","01","014","Darakhane","Yacouba","1"
"366","1",1,578,238,0,238,73,137,11,0,5,2,8,2,"238",NA,"",NA,366,"data",247,"","","","","","","01","014","Darou Khane Ecole","William","1"
"367","1",18,578,175,0,175,39,115,5,0,1,1,12,2,"175",NA,"",NA,367,"data",248,"","","","","","","01","014","Daroukhane","Yassine","1"
"368","1",9,578,235,0,235,68,140,15,0,2,NA,0,1,"NaN",NA,"",NA,368,"data",249,"","","","","","","01","014","Daroukhane","Fernand","1"
"369","1",10,581,282,0,282,107,150,14,0,0,1,10,0,"282",NA,"",NA,369,"data",250,"","","","","","","01","014","C.E.S EST","Fernand","1"
"370","1",11,589,257,1,256,69,156,16,0,3,2,7,3,"256",NA,"",NA,370,"data",251,"","","","","","","01","014","Darou Khane","Fernand","1"
"371","1",5,580,276,0,276,90,142,25,2,3,0,11,3,"276",NA,"",NA,371,"data",252,"","","","","","","01","014","CES EST","Yassine","1"
"372","1",NA,70367,39180,159,39017,16226,19736,884,110,1135,399,253,274,"39017",NA,"",NA,372,"data",253,"","","","","","","14","141","Sédhiou","Falilou Ndiaye",""
"373","1",NA,169823,86117,281,86128,34472,45447,2836,361,696,414,1413,489,"86128",NA,"",NA,373,"data",254,"","","","","","","04","043","Saint-Louis","Falilou Ndiaye",""
"374","1",NA,11893,5590,0,5590,2869,2721,0,0,0,0,0,0,"5590",NA,"",NA,374,"data",255,"","","","","","","08","082","Linguère","Falilou Ndiaye",""
"375","1",NA,17208,8088,0,8088,4686,3402,0,0,0,0,0,0,"8088",NA,"",NA,375,"data",256,"","","","","","","08","082","Dahra djolof","Falilou Ndiaye",""
"376","1",NA,8351,3925,0,3925,3302,543,80,0,0,0,0,0,"3925",NA,"",NA,376,"data",257,"","","","","","","08","082","BARKEDJI","Falilou Ndiaye",""
"377","1",NA,8572,4029,0,4029,2462,1478,89,0,0,0,0,0,"4029",NA,"",NA,377,"data",258,"","","","","","","08","082","THIAMENE","Falilou Ndiaye",""
"378","1",NA,6600,3102,0,3102,2303,654,145,0,0,0,0,0,"3102",NA,"",NA,378,"data",259,"","","","","","","08","082","Dealy","Falilou Ndiaye",""
"379","1",NA,106635,57404,665,56739,36419,14362,1884,391,682,1788,760,453,"56739",NA,"",NA,379,"data",260,"","","","","","","10","102","velingara","landing cisse",""
"380","1",NA,10676,5018,0,5018,3238,1719,61,0,0,0,0,0,"5018",NA,"",NA,380,"data",261,"","","","","","","08","082","Ourakhokh","Falilou Ndiaye",""
"381","1",NA,5757,2706,0,2706,1938,695,73,0,0,0,0,0,"2706",NA,"",NA,381,"data",262,"","","","","","","08","082","DODJI","Falilou Ndiaye",""
"382","1",NA,76423,35919,0,35919,17680,18239,0,0,0,0,0,0,"35919",NA,"",NA,382,"data",263,"","","","","","","14","143","GOUDOMP","Falilou Ndiaye",""
"383","1",NA,39334,17938,180,17758,10195,5761,1028,0,0,0,0,0,"16984",NA,"",NA,383,"data",264,"","","","","","","13","131","KEDOUGOU","Falilou Ndiaye",""
"384","1",NA,236809,101273,1695,99578,36892,57501,5185,0,0,0,0,0,"99578",NA,"",NA,384,"data",265,"","","","","","","01","015","KEUR MASSAR","Falilou Ndiaye",""
"385","1",NA,185600,93679,414,93265,42513,41302,2968,2669,1145,655,987,1026,"93265",NA,"",NA,385,"data",266,"","","","","","","08","083","LOUGA","Falilou Ndiaye",""
"386","1",NA,85363,40121,0,40121,17830,18252,845,468,372,1820,314,220,"40121",NA,"",NA,386,"data",267,"","","","","","","14","143","GOUDOMP","Falilou Ndiaye",""
"387","1",NA,12852,6109,16,6093,1558,3668,383,25,126,17,249,66,"6092",NA,"",NA,387,"data",268,"","","","","","","07","073","MEKHE","Falilou Ndiaye",""
"388","1",NA,122310,53927,307,53589,23348,24025,3110,169,830,677,748,682,"53589",NA,"",NA,388,"data",269,"","","","","","","03","031","BAMBEY","Falilou Ndiaye",""
"389","1",NA,134310,64125,174,63945,17314,44484,718,189,313,385,270,272,"63945",NA,"",NA,389,"data",270,"","","","","","","02","021","BIGNONA","Falilou Ndiaye",""
